VIN|StreetName|VehicleMake|Date Reported
2OSVM24SHKP343281|ALAHAKI ST| chevrolet|5/12/2017
3KBNY46LYBI149833|PUHINALO PL| chevrolet|11/13/2016
1SSXB2DSEJ512128|IPU LEPO WAY|mitsubishi|4/18/2014
2VXSO33OXVH432228|PAHEMO ST| bmw|3/30/2015
4IYAG2MILK707485|ORANGE ST| honda|11/4/2012
5UOKB25IPII785154|POLINA PL| peugot|9/24/2013
2JHOY7ASVQ592413|ALA MAHAMOE| porsche|10/21/2014
3GMHC28URTS46882|LELEWALO ST| volvo|12/17/2016
3HNKE40MOBZ593032|OSWALD ST| dodge|10/23/2013
5QWUI28ORVS976595|KAIMUKI AVE| volvo|10/6/2014
2WWLW24ILYG687969|KAIOHEE ST| toyota|3/7/2017
1OGZC71DVYG419465|HOOHEKE ST| porsche|4/14/2013
3WBEJ0PJPT931249|PAPAHEHI PL|renault|10/17/2017
5QSGI23PQJT151588|HALA DR| nissan|5/18/2013
3TUAW96TQWC99557|KILIHAU ST| saab|6/2/2013
4IEBN66JJVK895656|MONA ST| alfa-romero|12/13/2015
5BCIO47BADY666668|KUNIA RD| subaru|4/13/2013
3LOJY96QHOS263436|KEANU ST| mazda|1/1/2017
3OUXR22TTTH854139|KILOHI ST| volkswagen|10/4/2012
1FLQB37DIQT252784|MANUAIHUE ST| mercedes-benz|2/6/2015
1BHHV28DFQZ529795|KAHUHIPA ST| saab|7/27/2012
4XDPZ87CWLZ350923|KUAAINA WAY| bmw|6/7/2016
2PKOA94FBQB254677|ROOKE AVE| chevrolet|4/19/2012
3MPEA1IAEM218058|MANUAIHUE PL| mazda|11/27/2012
5IMON74LHOK105080|LILIHA ST| plymouth|9/18/2011
1SXAH71SKZR646128|8TH AVE|renault|4/17/2015
1IGTV34FUBX695916|KEALIA DR| nissan|7/3/2011
5CUOM26YGRJ654137|HAILI RD| toyota|7/8/2017
2ONLC39SETB327537|WAILOA LP| alfa-romero|8/9/2014
1RZCM28TAHD733051|WAIALAE AVE| porsche|12/8/2014
2ROHW63FBEI897008|WAILOA LP| volkswagen|9/16/2017
4HPFB60DBMB555409|AUWAI ST| mazda|3/9/2016
5PWTP44OXSV29405|BATES ST| plymouth|8/12/2016
2ZYBL67ZBQB862232|KANAINA AVE| jaguar|9/19/2013
5DGEA38DQHQ306445|KAILI ST| plymouth|12/31/2014
2EVBM10QNTU308842|KULEANA RD| mazda|12/25/2015
4USOS40BQHE62472|KUAAINA WAY|isuzu|7/3/2011
3KPVK3THIA993795|NUMANA RD| peugot|2/17/2017
1TNOI12IGZS62665|NUMANA RD| peugot|5/3/2015
2ZHAM20OPRO644432|ALA AKAU ST| volkswagen|9/2/2015
2IICQ94STYR340764|ALA POHA PL| alfa-romero|8/4/2013
1FDDN75JRPZ166815|ALA POHA PL| plymouth|9/1/2012
1ZITW60NDIR838492|KUALAKAI ST| mercedes-benz|7/11/2011
2IDXB50OZHP631435|PALOLO AVE| honda|8/21/2016
1EOYY72CXZT171870|ULANA ST| porsche|11/13/2016
2YSTG81WBDV169336|LAHILAHI ST| alfa-romero|7/2/2012
3HEXO93WANY631397|KUMOO LP| peugot|4/27/2016
5GYTI70IZHU702369|PONO ST| porsche|2/27/2013
4XYXU70HAMU864133|WAIKUPANAHA ST| volkswagen|11/15/2014
3CSGI4BOHC646785|SIERRA DR| mazda|4/9/2016
3IUVO12HKRN294062|MOOKAULA ST|mitsubishi|7/18/2016
3QKUA57QOXX964194|19TH AVE| volvo|11/20/2011
1VGKN35XIAN787038|KUMOO LP| mercedes-benz|2/3/2015
4OEOY36IIQW787240|MAHELU PL| saab|5/26/2015
3NCRV71RYZM537597|NAUPAKA ST| mazda|7/19/2016
4KFNZ59QCFM419035|9TH AVE| bmw|12/5/2011
4BMHI76PPST323461|OKANA PL| audi|7/27/2015
4ZMXJ47GZRG17040|OKANA PL| bmw|5/21/2012
5LBYI31PDCQ294106|7TH AVE| bmw|7/12/2014
5YRQL66HZNJ322043|KANAKA ST| mazda|7/23/2015
3XTEW93RSQV91110|UPAI PL| toyota|3/25/2013
3GGNS63FMJA627104|AHUKINI ST| bmw|4/16/2015
5DEJN33HJXF372849|LIANU PL| nissan|5/10/2013
2BQOX95NSRJ229654|LIANU PL| audi|11/16/2016
5OZOJ36DPSP586607|PUNAA ST| volvo|1/21/2015
2TXIA26TIZW779796|HUI KELU ST| alfa-romero|12/29/2011
1KFNY80HMKF835736|POKOLE ST| audi|9/4/2014
5BDAW5CVLM41510|KAALA AVE| peugot|1/28/2015
2VJBX27VFRW740500|HAUULA HMSTD RD| chevrolet|5/19/2016
2VIRT61RPPA736286|KAM HWY|renault|6/10/2015
1LTMQ89JJKX920481|AHA AINA PL| mercury|6/12/2015
4ZSBT46UZUV618704|KOPKE ST| subaru|2/25/2014
1GNUF3JZEY406808|8TH AVE| toyota|9/1/2012
4HAZI87HUCJ850703|MAHINUI RD| plymouth|2/3/2015
4FKUY13JUVL281784|MELEKAI PL| subaru|7/4/2012
1NVXJ17UIFY921746|HOOLI CIR| honda|11/27/2017
2ZOII49WCIM288600|CRATER RD| volvo|11/29/2015
5CPRV83AAWG500886|POLINA PL| subaru|8/31/2013
1KUTG93WSPV750344|PAKEKE ST| alfa-romero|1/16/2014
3OCTS64NPGV754363|IHILANI ST| peugot|3/19/2017
3VWJF70KHBN873293|DATE ST| subaru|12/21/2016
3FKVX29MHFR292171|PAOKANO PL| mercury|5/6/2016
4MQOZ24QARA587208|MANUAIHUE ST| saab|8/23/2013
5NJLG92YYUF184316|WAILOA LP| nissan|5/3/2016
2VHND91SWUH91700|PALAMA ST| peugot|5/24/2016
5COZB90AQZF796113|APO DR| mazda|10/28/2016
3JIKT11UOYZ342215|PALM PL| bmw|2/5/2012
3FUSX15ZYSM184675|MANONO ST| plymouth|3/20/2012
2FZAN39HMNE864525|DATE ST| chevrolet|3/4/2015
2OHCW92UXBK615752|KAM HWY| volvo|1/27/2014
3KUCL92CJKT169073|KAPALAMA AVE| alfa-romero|6/1/2011
1NNTH65GBGK559455|ALAELOA ST| mazda|2/13/2017
5COCI42WIYR405896|ALAELOA ST| porsche|8/8/2013
5DFFR76XXAO987369|AHUIMANU RD| mercedes-benz|10/13/2017
3MGHE21CEGD851473|ALAPOAI ST| dodge|6/10/2013
3GYWZ55TIVF198899|KAEKAE ST|mitsubishi|4/22/2016
2DNHQ55XJDX408641|AIALII ST| honda|4/25/2017
3AWUN22BIXR139365|KAWAIPUNA ST| subaru|8/26/2012
2CMCS31OCOO632966|ALA HEMA ST| chevrolet|7/31/2012
4BXHK67IQLC784173|MANU OO ST|renault|11/17/2015
1LGPV38TEOQ879637|PAULA DR| bmw|10/31/2015
4YRKN26QSYO472614|PULAMA RD| alfa-romero|3/30/2012
