VIN|VehicleMake|Date Reported
UMWK36M11RVXKL1II|FORD|7/2/2016
6JAMBIBZ4D6QFIDB8|TOYOTA|2/19/2012
XX7SZEETBKP06UOIE|HONDA|6/10/2013
VBXXTEUV83QLVIRVL|DODG|11/8/2017
YELZGE53A7W88TSHB|MINI COOPER|6/11/2014
XCNLDTM71LYHQB7EU|HYUNDAI|12/16/2016
5J7PO624TG8XAK8DT|FORD|5/18/2014
VPIAVV81P3GVU5Y3N|DODGE|2/17/2013
XIKVIFVRTMOJ0B0D6|MINI COOPER|1/21/2011
QS6UKY8X9DVI9KJ4W|MINI COOPER|5/18/2017
WZ38MJXTBIUSY2PRX|CADI|10/28/2013
PG63NUL8JC9IUCEPE|HONDA|9/23/2016
OBK7EIJBIPOFKKG1L|CHEVROLET|12/27/2012
4C73IFS9CGYKRGPCU|AUDI|4/25/2015
NOH0L7X1EE73812QI|TOYT|12/15/2011
HCRLF628BBU01J8C0|DODGE|4/6/2014
61TVTEKBEAUGDO53I|SATURN|9/10/2011
8NUIISP1J6CBN580I|HONDA|6/17/2013
5B6WX7HJB6H17WZ6S|MINI COOPER|4/12/2013
KVSRYJE3JIHA0EVP5|TOYOTA|7/7/2015
T47VKQM8GVH9MJNE5|MINI COOPER|5/26/2012
VNI0G122OYAJL1VMB|FORD|4/28/2013
C5969EFSSX6479355|MINI COOPER|4/2/2014
TIHFNCE261LZ44WXK|LEXUS|5/21/2014
GSE8VIDHXD58QYGOQ|FORD|1/17/2013
IME6Z24DCM33X3KGW|ACUR|3/11/2012
3L1679E7Z9J4QDFKO|GILL|1/25/2012
VJTNQ0J5S5JNAKV24|CADI|12/9/2013
55WTKNA992VJWJYTI|NONE|3/21/2011
HAXIMVRBOE4UZZXBW|FORD|12/10/2014
HJY5K6SOR7XV6VV41|HONDA|3/23/2014
CUFVSKFS6JGPKD7IA|HONDA|12/1/2011
CO4N6DE45X3QSSJZ8|NONE|1/21/2017
WC5AY9SMOXM9G40N5|AUDI|1/30/2012
TG9NFQA0XWLCO07ZL|MERCEDEZ|2/5/2012
Q4M9NPMARQ24Y3DCW|BUICK|6/26/2015
8C0UQV5KBNGKA6OJ4|MERCEDEZ|2/13/2014
N5A6G1XMYAI582I91|MERCEDEZ|9/5/2011
2491AIRZLBF0RTNV3|CHEV|5/23/2011
QIBZ1LCH2VXODU8LI|KAWASAKI|9/20/2013
EUKDNWTH5ZRWGQ4KE|ACURA|6/6/2011
MA7BAT6THX4KIRHOI|HONDA|7/12/2016
P3K0CVSS6VVUVF2D8|JEEP|4/12/2015
H7NGDANTF9Z6WIJI7|FORD|1/19/2016
AAAOKOPTD8L8VSBHJ|TOYT|7/18/2012
JKABM36G6W2WKMLMY|MITSUBISHI|12/11/2017
E1DU7S8X9BCVUQYZM|MERCEDEZ|9/9/2013
89H6YHDHN2X63V9V7|FORD|11/18/2012
NJDZM1COM14VMFD77|FORD|2/21/2011
OMF1PUAMT0L1FQD9W|HONDA|4/22/2016
COVXWIFSLPJWBWT86|SUNNY|2/6/2014
HXQF8ZDN2B1WHL0VZ|FORD|5/19/2015
DZLK1DAJDE1ZSE12I|FORD|2/8/2016
IQSREZSJ3HN5EESBL|LINCOLN|10/2/2013
T4WWPTQ54ULXJ6938|HOND|5/2/2016
DKCH893A76WO8AIYH|TOYOTA|3/7/2014
U7FW26CVKFGWUKOBG|FORD|11/21/2015
AH8DU43WRW4R5TD9C|CHRY|1/22/2017
MBYMKNAWY4XNNWHM2|INFI|10/23/2015
9AZDACM9KKHEOVDWR|SUBARU|4/1/2013
8MN4037R69FIE9WED|TOYOTA|11/22/2015
UCJ8L9LMAD2RJJU15|FORD|6/10/2011
Y597JG2VDDG0GKU9L|FORD|11/29/2012
AANSWNBRZ0F9W0VRI|FORD|2/13/2014
L1FFK5RNI5EV43HS7|GMC|2/25/2014
ITNMCR7PTQWWQMUJ7|HONDA|11/28/2012
934GZF5FNR66567RY|TOYOTA|9/4/2017
RCD6IKHZ1O401TUM6|LEXUS|11/29/2011
4OX1TNSGYAATXTZE2|MAZDA|3/20/2014
5RFB0TWR81BPW8MT9|BMW|6/22/2014
CS378ZVZTJGFD4EV9|HYUNDA|2/21/2011
YCH5D5AKVWQ1CCYAY|HOND|1/5/2011
QHL462TLGJPL4663X|NISS|1/25/2013
JKMD9W3WNDE7RHSEP|WV|7/25/2017
N7KE1KXT6WU80ZU7O|HONDA|1/31/2015
2OYVRVRITYONZB7GO|FORD|11/16/2013
S9STS9YTD9IYWNUAD|CHEVROLET|1/19/2016
PEQ46L26IVIGGVX1M|HONDA|3/15/2016
